Asset IP Address,Asset Names,Service Protocol,Service Port,Vulnerability Severity Level,Vulnerability Title,Vulnerability Description,Vulnerability Solution,Vulnerability Proof,Vulnerability CVE IDs,Vulnerability CVSS Score,Vulnerability Reference URLs,Exploit URLs,Asset OS Family,Asset OS Name,Asset OS Version,,,Vulnerability CVE IDs
10.28.14.12,ip-10-28-14-12.ap-southeast-1.compute.internal,ip,0,10,Obsolete Version of Ubuntu,This release has passed its End of Life. There may be unpatched security vulnerabilities. Please check with  https://wiki.ubuntu.com/Releases  for supported versions.,"Upgrade Ubuntu

Upgrade to a supported version of Ubuntu Linux",Vulnerable OS: Ubuntu Linux 18.04,,10,,,Ubuntu Linux,Ubuntu Linux,18.04,,,CVE-2023-45802
10.20.32.173,ip-10-20-32-173.ap-southeast-1.compute.internal,tcp,9090,5,Apache Tomcat default installation/welcome page installed,"The Tomcat default installation or ""Welcome"" page is installed on this server. This usually indicates a newly installed server which has not yet been configured properly and which may not be known about.

In many cases, Tomcat is installed along with other applications and the user may not be aware that the web server is running. These servers are rarely patched and rarely monitored, providing hackers with a convenient target that is not likely to trip any alarms.","Change the default page, or stop and disable the Tomcat server completely


 If this server is required to provide necessary functionality, then the default page should be replaced with relevant content. Otherwise, this server should be removed from the network, following the security principle of minimum complexity.","* Running HTTP service

 * Product Tomcat exists -- Apache Tomcat 8.5.90




HTTP GET request to  http://10.20.32.173:9090/ 
HTTP response code was an expected 200
26: <h1>Apache Tomcat/8.5.90</h1> 27: </div> 28: <div id=""upper"" class=""curved container""> 29: <div id=""congrats"" class=""curved container""> 30: ... this, you've successfully installed Tomcat. Congratulations!</h2>",,5,http://www.osvdb.org/2117,,Linux Linux,Linux LINUX 2.6.32 OR 3.10,2.6.32,,,CVE-2023-27522
10.20.32.37,ip-10-20-32-37.ap-southeast-1.compute.internal,ip,0,1,TCP timestamp response,"The remote host responded with a TCP timestamp. The TCP timestamp response can be used to approximate the remote host's uptime, potentially aiding in further attacks. Additionally, some operating systems can be fingerprinted based on the behavior of their TCP timestamps.","* Cisco
      Disable TCP timestamp responses on Cisco

      
       Run the following command to disable TCP timestamps: 

       no ip tcp timestamp 



 * FreeBSD
      Disable TCP timestamp responses on FreeBSD

      
       Set the value of net.inet.tcp.rfc1323 to 0 by running the following command: 

       sysctl -w net.inet.tcp.rfc1323=0 

       Additionally, put the following value in the default sysctl configuration file, generally sysctl.conf: 

       net.inet.tcp.rfc1323=0 



 * Linux
      Disable TCP timestamp responses on Linux

      
       Set the value of net.ipv4.tcp_timestamps to 0 by running the following command: 

       sysctl -w net.ipv4.tcp_timestamps=0 

       Additionally, put the following value in the default sysctl configuration file, generally sysctl.conf: 

       net.ipv4.tcp_timestamps=0 



 * OpenBSD
      Disable TCP timestamp responses on OpenBSD

      
       Set the value of net.inet.tcp.rfc1323 to 0 by running the following command: 

       sysctl -w net.inet.tcp.rfc1323=0 

       Additionally, put the following value in the default sysctl configuration file, generally sysctl.conf: 

       net.inet.tcp.rfc1323=0 



 * Microsoft Windows NT, Microsoft Windows NT Workstation, Microsoft Windows NT Server, Microsoft Windows NT Advanced Server, Microsoft Windows NT Server, Enterprise Edition, Microsoft Windows NT Server, Terminal Server Edition, Microsoft Windows 95, Microsoft Windows 98, Microsoft Windows 98SE, Microsoft Windows ME, Microsoft Windows 2000, Microsoft Windows 2000 Professional, Microsoft Windows 2000 Server, Microsoft Windows 2000 Advanced Server, Microsoft Windows 2000 Datacenter Server, Microsoft Windows XP, Microsoft Windows XP Home, Microsoft Windows XP Professional, Microsoft Windows XP Tablet PC Edition, Microsoft Windows CE, Microsoft Windows Server 2003, Microsoft Windows Server 2003, Standard Edition, Microsoft Windows Server 2003, Enterprise Edition, Microsoft Windows Server 2003, Datacenter Edition, Microsoft Windows Server 2003, Web Edition, Microsoft Windows Small Business Server 2003, Microsoft Windows Server 2003 R2, Microsoft Windows Server 2003 R2, Standard Edition, Microsoft Windows Server 2003 R2, Enterprise Edition, Microsoft Windows Server 2003 R2, Datacenter Edition, Microsoft Windows Server 2003 R2, Web Edition, Microsoft Windows Small Business Server 2003 R2, Microsoft Windows Server 2003 R2, Express Edition, Microsoft Windows Server 2003 R2, Workgroup Edition
      Disable TCP timestamp responses on Windows versions before Vista

      
       Set the Tcp1323Opts value in the following key to 1: 

       HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters 



 * Microsoft Windows Server 2008, Microsoft Windows Server 2008 Standard Edition, Microsoft Windows Server 2008 Enterprise Edition, Microsoft Windows Server 2008 Datacenter Edition, Microsoft Windows Server 2008 HPC Edition, Microsoft Windows Server 2008 Web Edition, Microsoft Windows Server 2008 Storage Edition, Microsoft Windows Small Business Server 2008, Microsoft Windows Essential Business Server 2008, Microsoft Windows Server 2008 R2, Microsoft Windows Server 2008 R2, Standard Edition, Microsoft Windows Server 2008 R2, Enterprise Edition, Microsoft Windows Server 2008 R2, Datacenter Edition, Microsoft Windows Server 2008 R2, Web Edition, Microsoft Windows Server 2012, Microsoft Windows Server 2012 Standard Edition, Microsoft Windows Server 2012 Foundation Edition, Microsoft Windows Server 2012 Essentials Edition, Microsoft Windows Server 2012 Datacenter Edition, Microsoft Windows Storage Server 2012, Microsoft Windows Vista, Microsoft Windows Vista Home, Basic Edition, Microsoft Windows Vista Home, Basic N Edition, Microsoft Windows Vista Home, Premium Edition, Microsoft Windows Vista Ultimate Edition, Microsoft Windows Vista Enterprise Edition, Microsoft Windows Vista Business Edition, Microsoft Windows Vista Business N Edition, Microsoft Windows Vista Starter Edition, Microsoft Windows 7, Microsoft Windows 7 Home, Basic Edition, Microsoft Windows 7 Home, Basic N Edition, Microsoft Windows 7 Home, Premium Edition, Microsoft Windows 7 Home, Premium N Edition, Microsoft Windows 7 Ultimate Edition, Microsoft Windows 7 Ultimate N Edition, Microsoft Windows 7 Enterprise Edition, Microsoft Windows 7 Enterprise N Edition, Microsoft Windows 7 Professional Edition, Microsoft Windows 7 Starter Edition, Microsoft Windows 7 Starter N Edition, Microsoft Windows 8, Microsoft Windows 8 Enterprise Edition, Microsoft Windows 8 Professional Edition, Microsoft Windows 8 RT, Microsoft Windows Longhorn Server Beta
      Disable TCP timestamp responses on Windows versions since Vista

      
       TCP timestamps cannot be reliably disabled on this OS. If TCP timestamps present enough of a risk, put a firewall capable of blocking TCP timestamp packets in front of the affected assets.",Able to determine system boot time.,,0,,,Linux Linux,Linux LINUX ,4,,,CVE-2023-25690
10.30.48.4,ip-10-30-48-4.ap-southeast-1.compute.internal,ip,0,4,Apache Tomcat: Important: Information disclosure (CVE-2021-24122),"When serving resources from a network location using the NTFS file system, Apache Tomcat versions 10.0.0-M1 to 10.0.0-M9, 9.0.0.M1 to 9.0.39, 8.5.0 to 8.5.59 and 7.0.0 to 7.0.106 were susceptible to JSP source code disclosure in some configurations. The root cause was the unexpected behaviour of the JRE API File.getCanonicalPath() which in turn was caused by the inconsistent behaviour of the Windows API (FindFirstFileW) in some circumstances.","* Apache Tomcat >= 7.0 and < 7.0.107
      Upgrade to Apache Tomcat version 7.0.107

      Download and apply the upgrade from:  http://archive.apache.org/dist/tomcat/tomcat-7/v7.0.107/ 


 * Apache Tomcat >= 8.5 and < 8.5.60
      Upgrade to Apache Tomcat version 8.5.60

      Download and apply the upgrade from:  http://archive.apache.org/dist/tomcat/tomcat-8/v8.5.60/ 


 * Apache Tomcat >= 9.0 and < 9.0.40
      Upgrade to Apache Tomcat version 9.0.40

      Download and apply the upgrade from:  http://archive.apache.org/dist/tomcat/tomcat-9/v9.0.40/",Vulnerable software installed: Apache Tomcat 9.0.12,CVE-2021-24122,4.3,,,Linux Linux,Linux LINUX 2.6.32 OR 3.10,2.6.32,,,CVE-2023-0286
Asset IP Address,Asset Names,Service Protocol,Service Port,Vulnerability Severity Level,Vulnerability Title,Vulnerability Description,Vulnerability Solution,Vulnerability Proof,Vulnerability CVE IDs,Vulnerability CVSS Score,Vulnerability Reference URLs,Exploit URLs,Asset OS Family,Asset OS Name,Asset OS Version,,,CVE-2023-0215
10.18.13.9,ip-10-18-13-9.ap-southeast-1.compute.internal,tcp,80,4,Apache: CVE-2023-45802: Apache HTTP Server: HTTP/2 stream memory not reclaimed right away on RST,"When a HTTP/2 stream was reset (RST frame) by a client, there was a time window were the request's memory resources were not reclaimed immediately. Instead, de-allocation was deferred to connection close. A client could send new requests and resets, keeping the connection busy and open and causing the memory footprint to keep on growing. On connection close, all resources were reclaimed, but the process might run out of memory before that.This was found by the reporter during testing of&amp;nbsp;CVE-2023-44487 (HTTP/2 Rapid Reset Exploit) with their own test client. During ""normal"" HTTP/2 use, the probability to hit this bug is very low. The kept memory would not become noticeable before the connection closes or times out.Users are recommended to upgrade to version 2.4.58, which fixes the issue.","Upgrade to the latest version of Apache HTTPD

Download and apply the upgrade from:  https://httpd.apache.org/download.cgi 


Many platforms and distributions provide pre-built binary packages for Apache HTTP server. These pre-built packages are usually customized and optimized for a particular distribution, therefore we recommend that you use the packages if they are available for your operating system.","* Running HTTP service

 * Product HTTPD exists -- Apache HTTPD 2.4.37

 * Vulnerable version of product HTTPD found -- Apache HTTPD 2.4.37",CVE-2023-45802,4.4,,,Red Hat Linux,Red Hat Enterprise Linux,,,,CVE-2022-4450
10.18.13.9,ip-10-18-13-9.ap-southeast-1.compute.internal,tcp,443,4,Apache: CVE-2023-45802: Apache HTTP Server: HTTP/2 stream memory not reclaimed right away on RST,"When a HTTP/2 stream was reset (RST frame) by a client, there was a time window were the request's memory resources were not reclaimed immediately. Instead, de-allocation was deferred to connection close. A client could send new requests and resets, keeping the connection busy and open and causing the memory footprint to keep on growing. On connection close, all resources were reclaimed, but the process might run out of memory before that.This was found by the reporter during testing of&amp;nbsp;CVE-2023-44487 (HTTP/2 Rapid Reset Exploit) with their own test client. During ""normal"" HTTP/2 use, the probability to hit this bug is very low. The kept memory would not become noticeable before the connection closes or times out.Users are recommended to upgrade to version 2.4.58, which fixes the issue.","Upgrade to the latest version of Apache HTTPD

Download and apply the upgrade from:  https://httpd.apache.org/download.cgi 


Many platforms and distributions provide pre-built binary packages for Apache HTTP server. These pre-built packages are usually customized and optimized for a particular distribution, therefore we recommend that you use the packages if they are available for your operating system.","* Running HTTPS service

 * Product HTTPD exists -- Apache HTTPD 2.4.37

 * Vulnerable version of product HTTPD found -- Apache HTTPD 2.4.37",CVE-2023-45802,4.4,,,Red Hat Linux,Red Hat Enterprise Linux,,,,CVE-2022-4304
10.18.13.9,ip-10-18-13-9.ap-southeast-1.compute.internal,tcp,80,4,Apache: CVE-2023-31122: mod_macro buffer over-read,Out-of-bounds Read vulnerability in mod_macro of Apache HTTP Server.This issue affects Apache HTTP Server: through 2.4.57.,"Upgrade to the latest version of Apache HTTPD

Download and apply the upgrade from:  https://httpd.apache.org/download.cgi 


Many platforms and distributions provide pre-built binary packages for Apache HTTP server. These pre-built packages are usually customized and optimized for a particular distribution, therefore we recommend that you use the packages if they are available for your operating system.","* Running HTTP service

 * Product HTTPD exists -- Apache HTTPD 2.4.37

 * Vulnerable version of product HTTPD found -- Apache HTTPD 2.4.37",CVE-2023-31122,4.4,,,Red Hat Linux,Red Hat Enterprise Linux,,,,CVE-2022-37436
10.15.11.14,ip-10-15-11-14.ap-southeast-1.compute.internal,tcp,443,3,TLS Server Supports TLS version 1.1,"The PCI (Payment Card Industry) Data Security Standard requires a minimum of TLS v1.1 and recommends TLS v1.2. In addition, FIPS 140-2 standard requires a minimum of TLS v1.1 and recommends TLS v1.2.","Disable insecure TLS/SSL protocol support


Configure the server to require clients to use TLS version 1.2 using Authenticated Encryption with Associated Data (AEAD) capable ciphers.",Successfully connected over TLSv1.1,,2.6,,,Linux Linux,Linux LINUX ,4.4,,,CVE-2022-36760
10.30.48.4,ip-10-30-48-4.ap-southeast-1.compute.internal,ip,0,5,Apache Tomcat: Important: Denial of Service (CVE-2019-10072),The fix for CVE-2019-0199 was incomplete and did not address HTTP/2 connection window exhaustion on write in Apache Tomcat versions 9.0.0.M1 to 9.0.19 and 8.5.0 to 8.5.40 . By not sending WINDOW_UPDATE messages for the connection window (stream 0) clients were able to cause server-side threads to block eventually leading to thread exhaustion and a DoS.,"* Apache Tomcat >= 8.5 and < 8.5.41
      Upgrade to Apache Tomcat version 8.5.41

      Download and apply the upgrade from:  http://archive.apache.org/dist/tomcat/tomcat-8/v8.5.41/ 


 * Apache Tomcat >= 9.0 and < 9.0.20
      Upgrade to Apache Tomcat version 9.0.20

      Download and apply the upgrade from:  http://archive.apache.org/dist/tomcat/tomcat-9/v9.0.20/",Vulnerable software installed: Apache Tomcat 9.0.12,CVE-2019-10072,5,"http://www.securityfocus.com/bid/108874,https://security-tracker.debian.org/tracker/DSA-4680,https://access.redhat.com/errata/RHSA-2019-3929,https://access.redhat.com/errata/RHSA-2019-3931",,Linux Linux,Linux LINUX 2.6.32 OR 3.10,2.6.32,,,CVE-2022-31813
